#number;groundtruth;mba
1;(x + y);(~ ((~ x) + (- (x ^ (x ^ y)))))
2;(x + y);((~ (x ^ (~ (y & (~ y))))) + y)
3;(x + y);((~ (x ^ (~ x))) ^ (x + y))
4;(x + y);(- (x + ((- x) + (- (x + y)))))
5;(x + y);(~ (- ((x | y) + (- (~ (x & y))))))
6;(x + y);(((- x) + (~ (- x))) & (x + y))
7;(x + y);(~ ((~ (x | (x & y))) + (- y)))
8;(x + y);((- (x ^ (x ^ (- x)))) + y)
9;(x + y);(x + ((~ (x | (~ x))) + y))
10;(x + y);(((~ x) ^ (x + (~ x))) + y)
11;(x + y);(~ (((x + y) ^ (~ y)) ^ y))
12;(x + y);(~ ((~ (x + y)) & (y + (~ y))))
13;(x + y);((x & (~ (x | y))) ^ (x + y))
14;(x + y);(- (((- x) + (- x)) + (- ((- x) + y))))
15;(x + y);(- (x + (- (x + (x + y)))))
16;(x + y);((x & (~ (x | y))) + (x + y))
17;(x + y);(~ ((~ (x + (- y))) + (- (y + y))))
18;(x + y);((x & ((- x) + (~ (- x)))) + y)
19;(x + y);(~ (~ ((~ (x & (~ x))) & (x + y))))
20;(x + y);((- x) + (x + (x + y)))
21;(x + y);(x + (- ((~ (x ^ (~ x))) + (- y))))
22;(x + y);(~ ((- x) + (x + (- ((- (~ x)) + y)))))
23;(x + y);(x + (~ ((x | (~ y)) & (~ y))))
24;(x + y);((~ x) ^ (x ^ ((- x) + (~ y))))
25;(x + y);((x | (~ (~ (y & (~ y))))) + y)
26;(x + y);(~ ((- x) + (x + (- (x + (- (~ y)))))))
27;(x + y);(~ (((~ x) & (~ (x & y))) + (- y)))
28;(x + y);((x | (~ (x ^ (~ x)))) + y)
29;(x + y);(- ((- x) + (- y)))
30;(x + y);(- ((x + ((- x) + (- x))) + (- y)))
31;(x + y);(((x + (~ y)) + y) + (- (~ y)))
32;(x + y);(x + ((~ (x & (~ y))) & y))
33;(x + y);(~ ((~ (x & (x | (~ x)))) + (- y)))
34;(x + y);(x + (- ((x ^ (~ x)) & (- y))))
35;(x + y);(x + (y | (y & (- (~ y)))))
36;(x + y);(~ ((x ^ (y + (~ y))) + (- y)))
37;(x + y);((x | (x & (~ y))) + y)
38;(x + y);(x + (- (~ (y + (~ (y & (~ y)))))))
39;(x + y);((~ x) + (- (((~ x) + (- y)) + (- x))))
40;(x + y);(x ^ (~ ((~ x) ^ (x + y))))
41;(x + y);((~ x) + (- ((- (x + x)) + (~ y))))
42;(x + y);((- (~ x)) + (~ (- y)))
43;(x + y);(- (((- x) + (- (y + y))) + y))
44;(x + y);(- ((- (x + x)) + (x + (- y))))
45;(x + y);(x + ((x | (~ x)) & y))
46;(x + y);(x + (- ((- y) ^ (~ (y | (~ y))))))
47;(x + y);(~ (~ ((x + (~ x)) & (x + y))))
48;(x + y);((~ x) + (x + (- ((- x) + (~ y)))))
49;(x + y);(x + (- ((~ ((~ x) + y)) + (- x))))
50;(x + y);(~ (((~ (x + y)) ^ y) ^ y))
51;(x + y);(- ((- x) + (x + (- (x + y)))))
52;(x + y);((x + (- ((~ (x | y)) & y))) + y)
53;(x + y);((~ ((- x) + (x ^ (~ x)))) + y)
54;(x + y);((x + y) & ((~ (x & y)) | y))
55;(x + y);((- (((- x) + (- y)) + (- y))) + (- y))
56;(x + y);((- (~ (x + x))) + (~ (x + (- y))))
57;(x + y);(x + (x ^ ((~ x) ^ (~ y))))
58;(x + y);((~ ((~ x) + (- y))) & (x + y))
59;(x + y);(~ ((x | (~ x)) + (- (x + y))))
60;(x + y);(x + ((~ (x + (~ x))) | y))
61;(x + y);((- (~ (x | (~ (x & y))))) + (x + y))
62;(x + y);((x & (~ ((~ x) & (- y)))) + y)
63;(x + y);((((~ x) ^ (~ y)) ^ y) + y)
64;(x + y);(((~ ((~ x) + (- y))) + y) + (- y))
65;(x + y);(x + (y | (~ (~ (y & (~ y))))))
66;(x + y);(~ ((~ (x | (~ (x | (~ x))))) + (- y)))
67;(x + y);((x | (x + (- (x & y)))) + y)
68;(x + y);(x + ((- (x & (~ (x | y)))) + y))
69;(x + y);(~ ((~ x) + (- ((- y) + (y + y)))))
70;(x + y);((x + (- (~ (y + y)))) + (~ y))
71;(x + y);(((~ x) + (- y)) ^ (~ (y & (~ y))))
72;(x + y);((x ^ (~ x)) ^ (~ (x + y)))
73;(x + y);(~ ((- x) + (~ (((- x) | y) & y))))
74;(x + y);(~ ((~ (x | (x & (~ y)))) + (- y)))
75;(x + y);(x + ((~ y) + (- (~ (y + y)))))
76;(x + y);((~ (((~ x) + (- y)) ^ y)) ^ y)
77;(x + y);((~ (x + y)) ^ (~ (y & (~ y))))
