#number;groundtruth;mba
1;(x | y);((x & y) + (x ^ y))
2;(x | y);(x + (~ (x | (x ^ (~ y)))))
3;(x | y);((~ (((~ (x | y)) ^ y) | y)) | y)
4;(x | y);(x + (((- (x & y)) + y) & y))
5;(x | y);(- (~ ((x + y) + (~ (x & y)))))
6;(x | y);((x | ((x + (- y)) + y)) | y)
7;(x | y);(~ ((x ^ (x + (~ x))) & (~ y)))
8;(x | y);((~ (((~ x) ^ y) | y)) + y)
9;(x | y);(~ (~ (((~ (x | y)) ^ (~ y)) | y)))
10;(x | y);(x | (~ (~ ((x | y) & y))))
11;(x | y);(x + (~ ((x & y) + (~ y))))
12;(x | y);(~ ((~ (x | (x | y))) & (~ y)))
13;(x | y);(~ (~ (x | (~ (~ (x | (x ^ y)))))))
14;(x | y);(((- (~ (x | y))) + (~ y)) + y)
15;(x | y);((x | (- (y & (~ y)))) | y)
16;(x | y);(x | ((~ (x | (~ y))) | y))
17;(x | y);(x | (x + (- ((x & y) + (- y)))))
18;(x | y);(~ (((~ (x & (~ y))) ^ y) & (~ y)))
19;(x | y);((- ((- (x | y)) + y)) | y)
20;(x | y);(x | (((x & y) & y) ^ y))
21;(x | y);(~ (x ^ ((x & y) + (~ y))))
22;(x | y);(((x | (x ^ y)) + (- y)) | y)
23;(x | y);((~ ((~ x) & (~ (x & (~ x))))) | y)
24;(x | y);(~ (~ (x | ((~ x) & (x | y)))))
25;(x | y);(((- ((- x) + (- y))) + (- y)) | y)
26;(x | y);(~ ((~ x) & (~ (((- x) & y) | y))))
27;(x | y);((x | y) & ((- y) + (~ (- y))))
28;(x | y);((x | (y & (- y))) | y)
29;(x | y);((~ x) ^ (~ ((- (x & y)) + y)))
30;(x | y);((x & (x ^ (~ x))) | y)
31;(x | y);(~ (~ (x | ((~ (x | (~ y))) & y))))
32;(x | y);((- (~ (x | y))) + (~ (y & (~ y))))
33;(x | y);(x | (~ (~ (y & (y | (- y))))))
34;(x | y);(x | ((x & (x + y)) ^ y))
35;(x | y);(x | ((- (x | (- x))) ^ y))
36;(x | y);((x ^ (y & (- (~ y)))) | y)
37;(x | y);(x + ((~ ((~ x) & (~ y))) + (- x)))
38;(x | y);((x & (x ^ (x & y))) | y)
39;(x | y);((x | y) | (~ (~ (y & (~ y)))))
40;(x | y);((x ^ (~ (y | (~ y)))) | y)
41;(x | y);(~ ((~ x) & (~ (x + (- (x + (- y)))))))
42;(x | y);(x | (x | (x + ((- x) + y))))
