#number;groundtruth;mba
1;(x - y);((x + (~ y)) + (- (y + (~ y))))
2;(x - y);(x + (- (~ (~ ((~ (x | (~ y))) | y)))))
3;(x - y);((- (~ x)) + ((x | (~ x)) ^ y))
4;(x - y);((~ (~ (x | (x & (~ y))))) + (- y))
5;(x - y);(~ (((~ x) + y) & (~ (x & (~ x)))))
6;(x - y);(x + (- (~ (~ (y & (~ (y & (~ y))))))))
7;(x - y);((~ (~ (x | (y & (~ y))))) + (- y))
8;(x - y);((- ((~ x) + y)) + (x + (~ x)))
9;(x - y);(~ (((~ x) + y) & (x ^ (~ x))))
10;(x - y);((x + (- (~ (x | (~ (x & y)))))) + (- y))
11;(x - y);((x + (~ y)) + (- (y ^ (~ y))))
12;(x - y);((~ ((x ^ y) ^ (~ y))) + (- y))
13;(x - y);((x | (- (~ (x | (~ x))))) + (- y))
14;(x - y);((x | (x & (~ y))) + (- y))
15;(x - y);(~ (((~ (x ^ y)) ^ y) + y))
16;(x - y);(x + (- (y + (~ (y + (~ y))))))
17;(x - y);(x + (- (((- x) + (x + y)) & y)))
18;(x - y);(x + (x + ((- x) + (- y))))
19;(x - y);(x + (~ (y + (~ (y & (~ y))))))
20;(x - y);(x + (- ((~ (x | (~ (x & y)))) + y)))
21;(x - y);((~ ((~ (x & y)) | y)) + (x + (- y)))
22;(x - y);(- ((- x) + ((x | (~ x)) & y)))
23;(x - y);((x & (x | (~ (- x)))) + (- y))
24;(x - y);((((~ x) ^ (~ y)) ^ y) + (- y))
25;(x - y);((- (~ x)) + ((- x) + (x + (~ y))))
26;(x - y);((~ (~ (x | (x & y)))) + (- y))
27;(x - y);((~ (~ (x | (~ ((~ x) | y))))) + (- y))
28;(x - y);(x + (- ((~ (~ (x & (~ x)))) + y)))
29;(x - y);(x + (- (~ ((~ (x & (~ x))) ^ y))))
30;(x - y);((~ (~ (x & (y ^ (~ y))))) + (- y))
31;(x - y);((~ ((~ x) + ((- x) + y))) + (- x))
32;(x - y);((~ x) + (- (~ ((x + x) + (- y)))))
33;(x - y);((x | ((x ^ y) ^ y)) + (- y))
34;(x - y);((x + (- (~ (y | (~ y))))) + (- y))
35;(x - y);(- ((- x) + (((- x) & y) | y)))
36;(x - y);(x + (- (~ ((~ x) ^ (x ^ y)))))
37;(x - y);(x + (- (((x | y) | y) & y)))
38;(x - y);(x + (- (~ (x + ((- x) + (~ y))))))
39;(x - y);(x + (- (((~ (- x)) | y) & y)))
40;(x - y);(x + (y + (- (~ ((~ y) + (- y))))))
41;(x - y);(x + (- ((~ ((- x) & (~ y))) & y)))
42;(x - y);((~ ((~ x) | ((~ x) & y))) + (- y))
43;(x - y);(~ ((~ x) + ((x & y) | y)))
44;(x - y);(~ ((~ ((- x) + (x + x))) + y))
45;(x - y);(~ ((x ^ (y ^ (~ y))) + y))
46;(x - y);(- ((((- x) + y) ^ y) ^ y))
47;(x - y);(x ^ (x ^ (- ((- x) + y))))
48;(x - y);((~ (~ (x & (x + (~ x))))) + (- y))
49;(x - y);(- ((((- x) + y) + y) + (- y)))
50;(x - y);((x + y) + ((- y) + (- y)))
51;(x - y);(x + (- (~ ((x | (~ x)) + (- y)))))
52;(x - y);(((~ x) + (- y)) + (x + (- (~ x))))
53;(x - y);((x ^ (x & (~ x))) + (- y))
54;(x - y);(~ ((~ (x | (~ x))) | (~ (x + (- y)))))
55;(x - y);((~ (~ (x | (~ (y | (~ y)))))) + (- y))
56;(x - y);((x | (x & (y + y))) + (- y))
57;(x - y);(~ ((((~ x) + (- y)) + y) + y))
58;(x - y);((~ x) ^ ((~ x) ^ (x + (- y))))
59;(x - y);(x + (- (((x + (- y)) & y) | y)))
60;(x - y);((- ((- x) + y)) & (x + (- y)))
61;(x - y);(x + (- ((x + (~ x)) ^ (~ y))))
62;(x - y);((x & ((x ^ y) | y)) + (- y))
63;(x - y);(~ ((~ (x + (- y))) | (y & (~ y))))
64;(x - y);(x + (- (~ (x ^ ((~ x) ^ y)))))
65;(x - y);(x + (- ((~ (~ (x & (~ x)))) | y)))
66;(x - y);(- (((- x) + (y + y)) + (- y)))
67;(x - y);((- (x + (~ x))) + (x + (~ y)))
68;(x - y);(x + (- ((~ x) + (- (~ (x + y))))))
69;(x - y);(~ (((~ (x + y)) + y) + y))
70;(x - y);(x + ((x + (~ x)) & (- y)))
71;(x - y);((~ (~ (x & (x | (- y))))) + (- y))
72;(x - y);((x + (- (y + y))) + y)
73;(x - y);(x + (- ((~ (x | (~ (x & y)))) | y)))
74;(x - y);((x + ((- y) + (- y))) + y)
75;(x - y);(~ ((~ (x | (x & (- x)))) + y))
76;(x - y);((- ((- x) + y)) + (x & (~ x)))
77;(x - y);((- (x & (~ x))) + (x + (- y)))
78;(x - y);(x + (- ((~ ((- x) | (~ y))) | y)))
79;(x - y);(((- x) + (x + (- (~ x)))) + (~ y))
80;(x - y);(x ^ (~ ((~ x) ^ (x + (- y)))))
81;(x - y);(((~ x) ^ (y + (~ y))) + (- y))
82;(x - y);((x + (- (~ x))) + (- (x + (- (~ y)))))
83;(x - y);(((- ((- x) + y)) ^ y) ^ y)
84;(x - y);((x + (~ (~ (x & (~ x))))) + (- y))
85;(x - y);((x | (~ ((~ x) | y))) + (- y))
86;(x - y);(x + ((~ (x ^ (~ x))) + (- y)))
87;(x - y);((~ ((~ x) + (- x))) + (- (x + y)))
88;(x - y);(~ ((- x) + ((x ^ (~ x)) + y)))
89;(x - y);(x + (- ((- (~ ((~ (x & y)) | y))) + y)))
90;(x - y);(x + (- ((- (~ y)) + (~ (y & (~ y))))))
91;(x - y);(x + ((~ (x | (~ (x & y)))) + (- y)))
92;(x - y);(x + (- (y & ((- y) + (~ (- y))))))
93;(x - y);((x & (~ (~ (y | (~ y))))) + (- y))
94;(x - y);((- (~ x)) + ((~ x) ^ (x ^ y)))
95;(x - y);((~ ((~ (x | y)) & y)) & (x + (- y)))
96;(x - y);((- (~ x)) + (~ ((~ (~ (x | y))) & y)))
97;(x - y);((~ ((~ x) & (x | (~ x)))) + (- y))
98;(x - y);(~ ((~ x) + ((x | y) & y)))
99;(x - y);((~ x) + ((x + (- (~ x))) + (- y)))
100;(x - y);((x ^ (~ (y | (~ y)))) + (- y))
101;(x - y);((x | (~ (x | (~ x)))) + (- y))
102;(x - y);(x + (y + (- (y + y))))
103;(x - y);(x + (- ((~ x) ^ ((~ x) ^ y))))
104;(x - y);(x + (- (~ ((~ (x | y)) | (~ y)))))
105;(x - y);((x | (- (~ (y | (~ y))))) + (- y))
106;(x - y);(~ ((x + (- y)) ^ (y | (~ y))))
107;(x - y);(x + (- (y & (~ (y & (~ y))))))
108;(x - y);(~ (((~ (x + (- y))) + (- y)) + y))
109;(x - y);(~ (((~ x) + (- x)) + (x + y)))
110;(x - y);((~ (x ^ (y | (~ y)))) + (- y))
111;(x - y);(x + ((- x) + (- ((- x) + y))))
112;(x - y);(x + (- (y | (y & (~ y)))))
113;(x - y);((x + (- y)) | (- (~ (y | (~ y)))))
114;(x - y);(~ (((- x) + y) + (x + (~ x))))
115;(x - y);(~ (~ ((x ^ (~ x)) & (x + (- y)))))
116;(x - y);((- ((~ (x | y)) & y)) + (x + (- y)))
117;(x - y);(x + (- ((x ^ (~ (x & y))) & y)))
118;(x - y);((x | (~ (y + (~ y)))) + (- y))
