#number;groundtruth;mba
1;x*y;(x&y)*(x|y)+(x&~y)*(~x&y)
2;x*x;(x&x)*(x|x)+(x&~x)*(~x&x)
3;x*y-41;(x&y)*(x|y)+(x&~y)*(~x&y)-41
4;x*y-165;(x&y)*(x|y)+(x&~y)*(~x&y)-165
5;x*y-113;(x&y)*(x|y)+(x&~y)*(~x&y)-113
6;x*y+35;(x&y)*(x|y)+(x&~y)*(~x&y)+35
7;x*y+237;(x&y)*(x|y)+(x&~y)*(~x&y)+237
8;x*y-101;(x&y)*(x|y)+(x&~y)*(~x&y)-101
9;x*y+46;(x&y)*(x|y)+(x&~y)*(~x&y)+46
10;x*y-129;(x&y)*(x|y)+(x&~y)*(~x&y)-129
11;x*y-157;(x&y)*(x|y)+(x&~y)*(~x&y)-157
12;x*y-83;(x&y)*(x|y)+(x&~y)*(~x&y)-83
13;x*y+5;(x&y)*(x|y)+(x&~y)*(~x&y)+5
14;x*y-131;(x&y)*(x|y)+(x&~y)*(~x&y)-131
15;x*y-248;(x&y)*(x|y)+(x&~y)*(~x&y)-248
16;x*y+4;(x&y)*(x|y)+(x&~y)*(~x&y)+4
17;x*y-27;(x&y)*(x|y)+(x&~y)*(~x&y)-27
18;x*y+15;(x&y)*(x|y)+(x&~y)*(~x&y)+15
19;x*y-193;(x&y)*(x|y)+(x&~y)*(~x&y)-193
20;x*y-271;(x&y)*(x|y)+(x&~y)*(~x&y)-271
21;x*y-76;(x&y)*(x|y)+(x&~y)*(~x&y)-76
22;x*y-236;(x&y)*(x|y)+(x&~y)*(~x&y)-236
23;x*y+279;(x&y)*(x|y)+(x&~y)*(~x&y)+279
24;x*y-227;(x&y)*(x|y)+(x&~y)*(~x&y)-227
25;x*y+237;(x&y)*(x|y)+(x&~y)*(~x&y)+237
26;x*y+174;(x&y)*(x|y)+(x&~y)*(~x&y)+174
27;x*y+176;(x&y)*(x|y)+(x&~y)*(~x&y)+176
28;x*y+100;(x&y)*(x|y)+(x&~y)*(~x&y)+100
