#number;groundtruth;mba
1;((((d-c)^d)^(c|d)));(((((d & ~ c) - (~ d & c)) | d) - (((d & ~ c) - (~ d & c)) & d)) | (((c + d) + 1) + ((- c - 1) | (- d - 1)))) - (((((d & ~ c) - (~ d & c)) | d) - (((d & ~ c) - (~ d & c)) & d)) & (((c + d) + 1) + ((- c - 1) | (- d - 1))))
2;((((a+d)&a)^(a+c)));(((((~ (((a ^ ~ d) + ((a | d) + (a | d))) + 1) | a) + (((a ^ ~ d) + ((a | d) + (a | d))) + 1)) + 1) - ((a ^ c) + ((a & c) + (a & c)))) - (((((~ (((a ^ ~ d) + ((a | d) + (a | d))) + 1) | a) + (((a ^ ~ d) + ((a | d) + (a | d))) + 1)) + 1) | ~ ((a ^ c) + ((a & c) + (a & c)))) + ((((~ (((a ^ ~ d) + ((a | d) + (a | d))) + 1) | a) + (((a ^ ~ d) + ((a | d) + (a | d))) + 1)) + 1) | ~ ((a ^ c) + ((a & c) + (a & c)))))) - 2
3;(((-(b^c))|((c|c)*b)));(((~ ((b | c) - (b & c)) + 1) + (((((c + c) + 1) + ((- c - 1) | (- c - 1))) & b) * ((((c + c) + 1) + ((- c - 1) | (- c - 1))) | b) + ((((c + c) + 1) + ((- c - 1) | (- c - 1))) & ~ b) * (~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) & b))) + 1) + ((- (~ ((b | c) - (b & c)) + 1) - 1) | (- (((((c + c) + 1) + ((- c - 1) | (- c - 1))) & b) * ((((c + c) + 1) + ((- c - 1) | (- c - 1))) | b) + ((((c + c) + 1) + ((- c - 1) | (- c - 1))) & ~ b) * (~ (((c + c) + 1) + ((- c - 1) | (- c - 1))) & b)) - 1))
4;((~(((b*d)^c)+((c+d)^d))));- ((((((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) - c) - ((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) | ~ c) << 1)) - 2) | ((((c - ~ d) - 1) | d) - (((c - ~ d) - 1) & d))) << 1) - ((((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) - c) - ((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) | ~ c) << 1)) - 2) ^ ((((c - ~ d) - 1) | d) - (((c - ~ d) - 1) & d)))) - 1
5;((e+(c+(-(c-c)))));((e | (((c ^ ~ (~ (((c ^ c) - ((~ c & c) << 1)) - 1))) + ((c | ~ (((c ^ c) - ((~ c & c) << 1)) - 1)) << 1)) + 1)) << 1) - (e ^ (((c ^ ~ (~ (((c ^ c) - ((~ c & c) << 1)) - 1))) + ((c | ~ (((c ^ c) - ((~ c & c) << 1)) - 1)) << 1)) + 1))
6;(((-(d+(~b)))+d));((~ (((d ^ ~ (- b - 1)) + ((d | (- b - 1)) + (d | (- b - 1)))) + 1) + 1) ^ d) + (((~ (((d ^ ~ (- b - 1)) + ((d | (- b - 1)) + (d | (- b - 1)))) + 1) + 1) & d) << 1)
7;((((-d)-(e^e))+((e*e)&(-(-e)))));((((~ d + 1) & ~ ((e | e) - (e & e))) - (~ (~ d + 1) & ((e | e) - (e & e)))) - ~ ((~ ((e & e) * (e | e) + (e & ~ e) * (~ e & e)) | (~ (~ (e - 1)) + 1)) - ~ ((e & e) * (e | e) + (e & ~ e) * (~ e & e)))) - 1
8;((((~c)*e)-((c-c)&(c+(e^e)))));(((((- c - 1) & e) * ((- c - 1) | e) + ((- c - 1) & ~ e) * (~ (- c - 1) & e)) & ~ ((~ ((c & ~ c) - (~ c & c)) | ((c | ((e | e) - (e & e))) + (c & ((e | e) - (e & e))))) - ~ ((c & ~ c) - (~ c & c)))) + ((((- c - 1) & e) * ((- c - 1) | e) + ((- c - 1) & ~ e) * (~ (- c - 1) & e)) & ~ ((~ ((c & ~ c) - (~ c & c)) | ((c | ((e | e) - (e & e))) + (c & ((e | e) - (e & e))))) - ~ ((c & ~ c) - (~ c & c))))) - ((((- c - 1) & e) * ((- c - 1) | e) + ((- c - 1) & ~ e) * (~ (- c - 1) & e)) ^ ((~ ((c & ~ c) - (~ c & c)) | ((c | ((e | e) - (e & e))) + (c & ((e | e) - (e & e))))) - ~ ((c & ~ c) - (~ c & c))))
9;(((a&(-(c+(-c))))|((-(d&a))&(~(d|d)))));((((~ a | (~ ((c - ~ (~ c + 1)) - 1) + 1)) - ~ a) + ((~ ((((~ d | a) + d) + 1) - 1) | (((d + d) + 1) + ((- d - 1) | (- d - 1)))) - (((d + d) + 1) + ((- d - 1) | (- d - 1))))) + 1) + ((- ((~ a | (~ ((c - ~ (~ c + 1)) - 1) + 1)) - ~ a) - 1) | (- ((~ ((((~ d | a) + d) + 1) - 1) | (((d + d) + 1) + ((- d - 1) | (- d - 1)))) - (((d + d) + 1) + ((- d - 1) | (- d - 1)))) - 1))
10;((d*((b*d)-(((d^d)^b)|d))));(d & ((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) ^ ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) - ((~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) + (~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1))))))) * (d | ((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) ^ ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) - ((~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) + (~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1))))))) + (d & ~ ((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) ^ ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) - ((~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) + (~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1))))))) * (~ d & ((((b & d) * (b | d) + (b & ~ d) * (~ b & d)) ^ ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) - ((~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))) + (~ ((b & d) * (b | d) + (b & ~ d) * (~ b & d)) & ((((((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) + d) + 1) + ((- (((((d - d) - ((d | ~ d) << 1)) - 2) | b) - ((((d - d) - ((d | ~ d) << 1)) - 2) & b)) - 1) | (- d - 1)))))))
